abacus 算盘 
antiquity 古风;古代 
anvil 铁砧 
anxiety 焦急 
anxious 焦急的 
any 任何 
anybody 任何人 
anyhow 无论如何 
anyone 任何人 
anything 无论何事 
anyway 无论如何 
anywhere 无论何处 
apart 分开 
apartment 公寓 
ape 无尾猿 
aperture 孔穴;隙缝 
apiece 各自地 
apologize 道歉 
apology 道歉 
apostle 使徒 
apostrophe 省略符号 
appall 惊恐 
appalling 惊人的 
apparatus 仪器 
apparel 衣服 
apparent 明显的 
appeal 上诉 
appear 出现 
appearance 出现;外表 
appendix 附录;盲肠 
appetite 食□ 
applaud 鼓掌;□扬 
applause 采声;□美 
apple 苹果 
appliance 用具 
applicant 申请人 
application 申请书 
apply 申请;应用 
appoint 任命;指定 
appointment 职位;约会 
appreciate 感激;涨价 
appreciation 增值;赏识 
apprehend 了解 
apprehension 理解 
apprentice 学徒 
approach 接近 
appropriate 适当的 
appropriation 拨用 
approval 赞成;许可 
approve 批准 
approximate 大约 
apricot 杏仁 
April 四月 
apron 围裙 
apt 适当的 
arbitrary 随意的 
arbitration 仲裁 
arbor 乔木;机轴 
arc 弧;拱 
arch 拱形;弧形 
archbishop 大主教 
archer 弓箭手 
architect 建□师 
architectural 建□学的 
architecture 建□学 
Arctic 北极 
ardent 热烈的 
ardor 热忱 
arduous 险峻;困难 
are 是 
area 面积;□围 
arena 竞技场 
argue 争论 
argument 辩论 
arise 起来;出现 
aristocracy 贵族社会 
aristocrat 贵族论者 
aristocratic 贵族化 
arithmetic 算□ 
ark 方舟 
arm 手臂 
armament 军备 
armchair 靠背椅 
armistice 休战 
armor 盔甲 
arms 武器 
army 陆军;军队 
around 大约;附近 
arouse 唤醒;激起 
arrange 安排 
arrangement 整理 
array 排列 
arrest 逮捕 
arrival 抵达 
arrive 到达 
arrow 箭头 
art 艺□ 
artery 动脉 
article 文章 
artificial 人造的 
artillery 大□ 
artisan 工匠 
artist 艺□家 
artistic 艺□的 
as 如 
ascend 上□ 
ascent 上□ 
ascertain 确定 
ash 灰 
ashamed 羞愧的 
ashore 岸上 
Asia 亚洲 
aside 在旁边 
ask 问 
asleep 睡着的 
aspect 样子 
asphalt 沥青 
aspiration 抱负 
aspire 热望 
ass 驴子 
assail 攻击 
assault 袭击 
assay 试金 
assemble 组合 
assembly 集会 
assent 赞同 
assert 声明 
assertion 断言 
asset 资产 
assign 分派 
assignment 任务;宿题 
assist 帮助 
assistance 援助 
assistant 助手 
associate 联想 
association 协会 
assume 假定 
assumption 臆测 
assurance 保证 
assure 保证 
astonish 使吃惊 
astonishing 可惊的 
astonishment 惊愕 
astound 惊愕 
astray 走错 
astronomer 天文学家 
astronomy 天文学 
asylum 庇护 
at 在 
athlete 运动家 
athletic 运动的 
Atlantic 大西洋 
atlas 大地图 
atmosphere 大气;气氛 
atom 原子 
atomic 原子的 
attach 附上 
attachment 附着 
attack 攻击 
attain 获得 
attempt 尝试 
attend 出席 
attendance 出席者 
attendant 随员 
attention 注意 
attic 阁楼 
attire 服装 
attitude 态度 
attorney 律师 
attract 吸引 
attraction 吸引 
attractive 引人注意的 
attribute 属性 
auction 拍卖 
audible 听得见的 
audience 听众;观众 
August 八月 
aunt 姑妈;姨妈 
austere 严厉的 
Australia 澳洲 
authentic 真正的 
author 作家 
authoritative 有权威的 
authority 权威 
authorize 授权 
auto 汽车 
automatic 自动的 
automobile 汽车 
autumn 秋季 
available 可得到的 
avenge □仇 
avenue 大路 
average 平均;一般 
aviation 飞行 
avoid 避免 
awake 唤醒 
awaken 叫醒 
award 奖品 
aware 注意到 
away 不在 
awful 可怕的 
awkward 笨拙的 
ax 斧头 
axis 轴 
axle 轮轴 
azure 天蓝色的 
baby 婴儿 
bachelor 学士 
back 背 
backbone 脊骨 
background 背景 
backward 向後 
bacon □肉 
bacteria 细菌 
bad 坏 
badge 徽章 
badly 非常的 
badminton 羽毛球 
baffle 羞辱;破坏 
bag 袋子 
baggage 行李 
bait 饵 
bake 烘 
baker □包师傅 
baking 烘 
balance 平衡;差额 
balcony 阳□;包厢 
bald 光秃秃 
ball 球 
ballad 短歌;民谣 
balloon 气球 
ballot 选票 
balm 油膏 
balmy 芳香的 
banana 香蕉 
band 带子;乐队 
bandage 绷带 
bandit 强盗;土匪 
bane 毒害 
bang 重击 
banish 放逐;排斥 
banishment 驱逐;流放 
bank 银行;堤岸 
banker 银行家 
banking 银行业 
bankruptcy 破产 
banner 旗 
banquet 宴会 
baptism 洗礼 
bar 酒廊;障碍 
barbarian 野蛮人 
barbarous 野蛮的 
barber 理□师 
bard 诗人 
bare 赤裸裸的 
barefoot 赤足 
barefooted 赤足的 
barely 几乎;仅仅 
bargain 买卖;议价 
barge 驳船;□艇 
bark 树皮 
barley 大麦 
barn □仓;马厩 
barometer 气压计 
baron 男爵 
barrack 收留所 
barrel 大桶;□管 
barren 不毛的 
barrier 栏栅;障碍 
base 基础 
baseball 棒球 
basement 地下室 
bashful 怕羞的 
basic 基本的 
basin 水盆;盆地 
basis 根本 
basket 篮子 
basketball 篮球 
bass 低音 
bat 球棒;蝙蝠 
bath 沐浴;浴室 
bathe 洗澡 
bathroom 浴室 
battalion 军队 
batter 连击 
battery 电池;□□ 
battle 战争 
battleship 主力舰 
bawl 呼喊 
bay 海湾 
bayonet 刺刀 
bazaar 市场 
be 是 
beach 海滩 
bead 珠子 
beak 鸟嘴 
beam 横□;光束 
bean 豆子 
bear 熊;忍受 
beard □□ 
bearer 负担者 
bearing 态度;位置 
beast 野兽 
beat 敲打;跳动 
beaten 疲惫;破败 
beating 鞭打;脉□ 
beau 美好的 
beautiful 美丽的 
beauty 美人 
beaver 海狸 
because 因为 
beckon 点头招呼 
become 变成 
bed 床 
bedroom 卧室 
bedside 床侧 
bedtime 就寝时间 
bee 蜂 
beech 榉木 
beef 牛肉 
beer 啤酒 
beet 甜菜 
beetle 甲□ 
befall 遭遇;降临 
before 以前 
beforehand 预先 
befriend 援助 
beg 恳求 
beggar 乞丐 
begin 开始 
beginner 初学者 
beginning 开头 
behalf 利益 
behave 举动 
behavior 行为 
behead 斩首 
behind 在後 
behold 注视 
being 生命;存在 
belief 信任 
believe 相信 
believer 信徒 
bell 钟 
belle 美人 
bellow 怒吼 
bellows 风箱 
belly 腹部 
belong 属於 
belongings 所有物 
beloved 心爱的 
below 在□之下 
belt 带子 
bench 长椅 
bend 弯曲 
beneath 在下方 
beneficial 有利的 
benefit 利益 
benevolent 仁慈的 
bent 弯曲 
bequeath 遗赠 
berry 浆果 
berth 卧位 
beseech 请□ 
beset 包围 
beside 在□之旁 
besides 此外 
besiege 围攻 
best 最好的 
bestow 授与 
bet 打赌 
betray 出卖;背叛 
better 较好的 
between 在□之间 
betwixt 中间 
beverage 饮料 
bewail 悲□ 
beware 小心 
bewilder 困惑 
bewitch 迷惑 
beyond 超过 
bias 偏差 
bib 围兜 
Bible 圣经 
bicycle 自行车 
bid 出价 
big 大的 
bill 帐单;钞票 
billiards 计数者 
billion 十亿 
billow 大浪 
bin 箱子 
bind 包□ 
binding 约束 
biography 传记 
biology 生物学 
birch 桦木 
bird 鸟 
birth 出生 
birthday 生日 
birthplace 出生地 
birthright 生有权 
biscuit 饼乾 
bishop 主教 
bit 一点 
bite 咬 
bitter 苦的 
bituminous 沥青的 
black 黑色 
blackberry 黑莓子 
blackboard 黑板 
blacksmith 铁匠 
blade 刀叶 
blame 责备 
blank 空白的 
blanket 毛毯 
blast 疾风;爆炸 
blaze 火焰 
bleach 漂白 
bleed 流血 
blend 混合 
bless 保佑 
blessed 幸福的 
blessing 祝福 
blind 瞎的 
blink 霎眼 
blister 水泡 
block 木块;街段 
blockade 封锁 
blond 金□的 
blood 血 
bloody 残忍的 
bloom 花开 
blossom 群花 
blot 污痕 
blouse 上衫 
blow 吹 
blue 蓝色 
bluff 虚张声势 
blunder 大错 
blunt 钝的 
blur 朦胧 
blush 害羞 
boar 公猪 
board 板 
boarder 寄宿生 
boast 自□ 
boat 小船 
body 身体 
boil 煮熟;烧开 
bold 大胆的 
bolt 门栓 
bomb 炸弹 
bond 证券 
bone 骨 
bonnet 苏格兰帽 
bonus 红利 
book 书 
bookcase 书架 
bookkeeper 记帐员 
booklet 小册子 
bookseller 书店 
boot 长靴 
booth 摊子 
border 边界 
bore 钻孔 
born 天性的 
borough 区 
borrow 借 
bosom 胸 
boss 上司 
botanical 植物的 
botany 植物学 
both 两者的 
bother 烦扰 
bottle 瓶子 
bottom 底 
boulder 圆石头 
bounce 乱跳,退票 
boundary 界限 
bouquet 花束 
bow 弓 
bowel 肠 
bowl 一碗 
box 箱 
boxing 拳击 
boy 男孩子 
boyish 孩子气 
brace 支柱 
bracelet 手镯 
bracket 托架 
brag 吹牛 
braid □辫 
brain 脑 
branch 分枝;支店 
brand 商标 
brass 黄铜 
brave 勇敢 
bravery 英勇 
bread □包 
breadth 阔度 
break 打破 
breakfast 早餐 
breast 胸 
breath 气息 
breathe 呼吸 
breathless 气喘喘的 
breed 品种 
breeding 孵化 
breeze 和风 
brew 酿造 
bribe 贿络 
brick 砖 
bride 新娘 
bridegroom 新郎 
bridge 桥 
brief 短简的 
briefly 简单地 
brigade 队 
bright 光亮的 
brightness 明亮 
brilliant 闪亮,才气 
bring 携带 
brisk 活泼的 
bristle 刚毛 
brittle 易碎的 
broad 阔的 
broadcast 广播 
broil 烤 
broken 破的 
broker 经纪人 
bronze 青铜 
brooch 胸针 
brook 小河 
broom 扫帚 
broth 清汤 
brother 兄弟 
brow 眉 
brown 褐色 
bruise 打伤 
brush 毛刷 
brutal 兽性的 
brute 无理性的 
bubble 气泡 
buck 雄鹿 
bucket 水桶 
buckle 带□ 
bud 芽 
budget 预算 
buff 浅黄色 
buffalo 水牛 
bug 飞□ 
build 建□ 
building 建□物 
bulb 电灯泡 
bulge 胀起 
bulk 大部份 
bull 公牛 
bulldog 牛头犬 
bullet 子弹 
bulletin 公报 
bullion 金银块 
bump 碰撞 
bun 圆形□包 
bunch 串 
bundle 捆;束 
bungalow 平房 
bunk 床铺 
bunny 栗鼠 
buoy 浮标 
burden 负重担 
bureau 局;部;处 
burglar 窃盗 
burial 葬礼 
burn 烧 
burst 破裂 
bury 埋葬 
bus 公共汽车 
bush 灌木 
business 商业 
busy 忙 
but 但是 
butcher 屠夫 
butler □人领班 
butter 牛油 
butterfly 蝴蝶 
button □子 
buy 买 
buzz 电话铃声 
by 经;在旁 
cab 计乘车 
cabbage 甘蓝菜 
cabin 小屋 
cabinet 小型□橱 
cable 电报 
cafe 咖啡店 
cage 鸟笼 
cake 西薄 
calcium 钙 
calculate 计算 
calculation 计算 
calendar 日□ 
calf 小牛 
call 喊,叫 
calm 冷静 
calorie 卡 
camel 骆驼 
camera 照相机 
camp 露营 
campaign 竞选活动 
campus 校园 
can 能	 
Canada 加拿大 
canal 运河 
canary 金丝雀 
cancel 取消 
cancer 癌 
candidate 候选人 
candle 蜡烛 
candor 美洲兀鹰 
candy 糖果 
cane 甘蔗;手杖 
cannon 大炮 
cannot 不能 
canoe 独木舟 
canopy 天篷;垂幕 
canto 篇章 
canton 区;郡 
canvas 帆布 
canyon 峡谷 
cap 便帽;套子 
capable 有才□的 
capacity 容量;能力 
cape 海角 
caper 戏弄 
capital 首都;资本 
capitalist 资本家 
captain 领队 
captive 俘虏 
captivity 囚禁 
capture 虏获 
car 汽车 
caramel 焦糖 
caravan 商队 
carbon 复写纸 
carbonic 含碳的 
carcass 残骸 
card 卡片;纸牌 
cardinal 主要的 
care 照顾;操心 
career 职业;经历 
careful 小心的 
careless 粗心的 
caress 抚抱 
cargo 船货 
carnival 嘉年华会 
carol 颂歌 
carp 鲤鱼 
carpenter 木匠 
carpet 地毯 
carriage 马车;车厢 
carrier 航空母舰 
carrot 红萝□ 
carry 搬运 
cart 手拉车 
carve 雕刻 
cascade 小瀑布 
case 盒子;案子 
casement 窗子 
cash 现款 
cashier 出纳员 
cask 木桶 
casket 小木盒 
cast 抛;投 
castle 城堡 
casual 非正式的 
cat 猫 
catalog 目录 
cataract 洪流;翳眼 
catastrophe 灾难;悲剧 
catch 捕捉 
catcher 捕手 
category 分类 
caterpillar 毛□ 
cathedral 大教堂 
Catholic 天主教 
cattle 牛;家畜 
cause 理由;目标 
caution 小心;警告 
cautious 小心的 
cavalier 骑士;豪侠 
cavalry 骑兵 
cave 洞穴 
cavern 大地洞 
cavity 凹洞 
cease 停止 
cedar 西洋杉 
ceiling 天花板 
celebrate 庆祝 
celebrated 着名的 
celebration 典礼 
celery 芹菜 
celestial 天上的 
cell 细胞;密室 
cellar 地下室 
celluloid 假象牙 
cement 水泥 
cemetery 墓地 
censure 责难 
census 人口调查 
cent 一分钱 
center 中心 
centigram 厘克 
centiliter 厘升 
centimeter 厘米 
central 中心的 
century 世纪 
cereal □类 
ceremony 典礼 
certain 确实 
certainly 必然地 
certainty 毫无疑问 
certificate 证书 
chain 链子 
chair 椅子 
chairman 主席;会长 
chalk 粉笔 
challenge 挑战 
chamber 房间;议会 
chamberlain 内臣 
champion 冠军 
chance 机会 
chancellor 大臣 
chandelier 吊灯 
change 改变 
channel 海峡;途径 
chant 歌谣 
chaos 凌乱 
chap 家伙;皴裂 
chapel 小礼拜堂 
chaplain 牧师 
chapter 篇章;分会 
character 性格 
characteristic 特徵 
charcoal 木炭 
charge 控告;记帐 
charger 充电器 
chariot 四轮马车 
charitable 仁慈的 
charity 慈善机构 
charm 魅力 
charming 迷人的 
chart 地图;图表 
charter 特许状 
chase 追逐 
chasm 裂痕 
chaste 有道德的 
chat □谈 
chatter 喋喋不休 
chauffeur 司机 
cheap 便宜的 
cheat 欺骗 
check 帐单;检查 
cheek 脸颊 
cheer 欢呼;喝采 
cheerful 愉快的 
cheerily 愉快地 
cheery 快乐的 
cheese 乾酪 
chemical 化学的 
chemise 女用内衣 
chemist 化学家 
chemistry 化学 
cherish 珍爱 
cherry 樱桃 
chess 西洋棋 
chest 胸部 
chestnut 栗子 
chew 咀嚼 
chick 小鸡 
chicken 鸡 
chide 喝叱 
chief 领袖 
chiefly 多半地 
child 小孩 
childhood 童年 
childish 孩子气的 
chill 寒冷 
chilly 寒冷的 
chime 套钟 
chimney 烟囱 
chin 下巴 
China 中国 
china 瓷器 
Chinese 中国人 
chink 裂缝 
chip 碎片 
chirp □鸟叫声 
chisel 凿子 
chivalry 骑士气概 
chocolate 巧克力 
choice 选择 
choir 唱诗班 
choke 窒息 
cholera 霍乱 
choose 选择 
chop 砍;剁 
chord 琴弦 
chorus 合唱团 
chosen 精选的 
Christ 基督 
Christian 基督教徒 
Christmas 圣诞节 
chronicle 编年史 
chuckle 咯咯笑 
church 教堂 
churchman 教士;牧师 
churchyard 教堂墓地 
cider 果汁;果酒 
cigar 雪茄烟 
cigaret 纸烟 
cinder 煤屑 
cinema 电影院 
cinnamon 肉桂 
circle 圆 
circuit 电路 
circular 圆的 
circulate 循环 
circulation 发行额 
circumference 圆周 
circumstance 境遇 
circus 马戏团 
cite 引证 
citizen 公民 
city 市 
civic 市民的 
civil 民事的 
civilian 平民 
civilization 文明 
civilize 文明化 
claim 索赔 
clam 蚶 
clan 氏族 
clap 拍手 
class 种类;学级 
classic 古典派的 
classical 古典的 
classification 分类 
classify 分类 
classmate 同班同学 
classroom 教室 
clause 短句 
claw 爪 
clay 泥土 
clean 清洁 
cleaner 清洁器 
clear 清楚 
clearly 明显地 
cleave 劈开 
clergy 教士 
clergyman 牧师 
clerk 书记 
clever 聪明 
client 顾客 
cliff 悬岩 
climate 气候 
climax 顶点 
climb 爬 
cling 黏住 
clinic 诊所 
clip 纸夹 
cloak 斗篷 
cloakroom 衣帽间 
clock 钟 
cloister 寺院 
close 关闭 
closet 壁橱 
cloth 布 
clothes 衣服 
clothing 衣服 
cloud □ 
cloudy 阴天的 
clown 小丑 
club 棍棒 
clumsy 笨拙的 
cluster 串 
coach 客车 
coal 煤 
coarse 粗劣的 
coast 海岸 
coat 外套 
cobweb 蜘蛛网 
cock 公鸡 
cocktail 鸡尾酒 
cocoa 可可 
coconut 椰子 
code 略码 
coffee 咖啡 
coffin 棺材 
coil □ 
coin 硬币 
coincidence 巧合 
cold 冷;伤风 
collapse 塌下;崩溃 
collar 硬领 
colleague 同事 
collect 收集 
collection 珍藏 
college 学院 
colonel 陆军上校 
colonial 殖民的 
colony 殖民地 
color 颜色 
colorful 富色彩的 
colt 小马 
column 圆柱 
comb 梳 
combat 战□ 
combination 结合 
combine 结合 
combustion 燃烧 
come 来 
comedy 喜剧 
comet 彗星 
comfort 安慰 
comfortable 舒服的 
comforter 棉被 
comic 连环图 
comical 滑稽的 
coming 来临 
comma 逗点 
command 命令 
commander 指挥官 
commandment 戒律 
commence 开始;着手 
commencement 开始 
commend 推□ 
comment □解 
commentary 评□ 
commerce 贸易 
commercial 商务的 
commission 佣金 
commissioner 委员 
commit 委任;监禁 
committee 委员会 
commodity 商品 
common 共同的 
commonplace 平凡的 
commonwealth 联邦 
commotion 暴乱;动□ 
commune 密谈 
communicate 沟通 
communication 联络 
communion 交谊 
communism 共产主义 
communist 共产党员 
community 社区;体团 
compact 紧密;小型 
companion 同伴 
companionship 友谊 
company 公司;陪伴 
comparable 可比的 
comparative 比较的 
comparatively 比较地 
compare 比较 
comparison 比拟 
compartment 间隔 
compass 罗盘;周围 
compassion 同情 
compel 强迫 
compensate 赔偿 
compensation 赔偿金 
compete 竞争 
competent 能□的 
competition 比赛 
competitive 竞争的 
competitor 对手 
compile 编辑 
complain 抱怨 
complaint 原告 
complement 附加物 
complete 完全的 
completion 完成 
complex 复合的 
complexion 气色;形势 
complicate 恶化 
complicated 复杂地 
complication 纠纷 
compliment 称□;道贺 
comply 同意 
compose 组成 
composed 安然的 
composer 作家 
composition 作文 
composure 镇静 
compound 复合 
comprehend 了解 
comprehensive 广泛的 
compress 压紧 
comprise 包含 
compromise 妥协 
compulsory 强迫的 
compute 计算 
computer 电脑 
comrade 同伴 
conceal 隐藏 
concede 承认;让步 
conceit 自负;意念 
conceivable 可想像的 
conceive 构想;表达 
concentrate 专心;浓缩 
concentrate 集中;专心 
concentration 专心;浓缩 
conception 想像力 
concern 关注 
concerned 挂念的 
concerning 关於 
concert 音乐会 
concession 让步 
concise 简明的 
conclude 结束 
conclusion 结论;结局 
concord 和谐 
concrete 实在的 
condemn 反对 
condense 紧缩 
condition 条件;状况 
conduct 处理;引导 
conductor 指挥者 
cone 圆锥体 
confederacy 同盟 
confederate 同盟的 
confederation 同盟国 
confer 颁给 
conference 研讨会 
confess 承认;忏悔 
confession 自白书 
confide 信赖 
confidence 自信;秘密 
confident 确信的 
confidential 机密的 
confine 限制 
confirm 证实 
confirmation 证明 
confiscate 没收 
conflict □突 
conform 符合 
confound 惊讶 
confront 面对 
confuse 混乱 
confusion 迷乱 
congenial 意气相投的 
congratulate 祝贺 
congratulate 庆贺 
congratulation 祝贺 
congregation 集合 
congress 国会 
congressman 国会议员 
conjecture 推测 
conjugation 连合 
conjunction 连接词 
conjure 使魔法 
connect 连接 
connection 联□ 
conquer 征服 
conqueror 征服者 
conquest 胜利 
conscience 良心 
conscientious 有良心的 
conscious 有意识的 
consciousness 意识 
consecrate 奉献 
consent 同意 
consequence 结果 
consequent 来自 
consequently 因此 
conservation 保护区 
conservative 保守的 
conserve 保存 
consider 考虑 
considerable 值得考虑的 
considerably 非常地 
considerate 体贴的 
consideration 顾虑 
considering 就□而言 
consign 移交 
consist 包含 
consistent 一致的 
consolation 慰藉 
console 安慰 
consolidate 巩固 
consonant 子音 
consort 配偶 
conspicuous 明显的 
conspiracy 阴谋 
conspire 图谋 
constable 警官 
constancy 持久性 
constant 不变的 
constantly 持续地 
constellation 星座 
constituent 有选举权的 
constitute 组成 
constitution 构造 
constitution 宪法 
constraint 拘禁 
construct 构成 
construction 建□ 
constructive 建设性的 
consul 领事 
consult 请教;商量 
consultation 会议 
consume 消耗 
consumer 消费者 
consummate 完成 
consumption 消耗量 
contact 接触 
contagious 会传染的 
contain 容纳 
contemplate 注视;沈思 
contemplation 沈思;期望 
contemporary 同时代的 
contempt 轻视 
contemptuous 轻视的 
contend 竞争;争论 
content 使满意 
contented 满足的 
contention 争论点 
contentment 满足 
contest 竞争 
continent 大陆 
continental 大陆的 
continual 不断的 
continuation 继续 
continue 继续 
continuous 连续的 
contract 契约 
contraction 缩短 
contractor 承包人 
contradict □触 
contrary 相反 
contrast 对照 
contribute 投稿;贡献 
contribution 捐赠 
control 控制 
controversy 论争 
convenience 便利 
convenient 便利的 
convent 女修道 
convention 会议 
conventional 惯例的 
conversation 谈话 
conversion 变换 
convert 转换 
convey 传达 
convict 定罪;囚犯 
conviction 悔罪 
convince 使信服 
convincing 使人信服的 
cook 煮;厨司 
cookery 烹调□ 
cookie 饼乾 
cool 凉快 
cooperate 合力 
cooperation 合作 
cooperative 合作的 
coordinate 座标 
cope 应付 
copper 铜 
copy 复本;拷贝 
copyright 版权 
coral 珊瑚 
cord 绳子 
core 核心 
cork 软木塞 
corn 玉蜀黍 
corner 角落 
corporal 肉体的 
corporation 有限公司 
corps 军团 
corpse □体 
correct 对的 
correction 改正 
correctly 正确地 
correspond 相应;通信 
correspondent 通信;一致 
corridor 走廊 
corrupt 败坏的 
corruption 腐败 
cost 成本 
costly 昂贵的 
costume 服装 
cot 茅屋 
cottage 茅舍 
cotton 棉 
couch 睡椅 
cough 咳嗽 
council 评议会 
counselor 顾问 
count 计算 
countenance 容貌 
counter □□ 
counterfeit 仿造的 
countless 数不尽的 
country 国 
county 郡 
couple 一对 
courage 勇气 
courageous 有胆量的 
course 路程 
court 法院 
courteous 有礼貌的 
courtesy 礼貌 
courtyard 中庭 
cousin 堂;表亲 
covenant 圣约 
cover 覆盖 
cow 母牛 
coward 懦夫 
cowardice 胆小 
cowboy 牛仔 
cozy 舒适的 
crab 蟹 
crack 爆裂 
cracker 爆竹 
crackle 裂纹 
cradle 摇篮 
craft 手艺 
crafty 狡猾的 
cram 填满;死记 
cramp 夹子 
crane 起重机 
crash 粉碎 
crate 条板箱 
crave 切望 
crawl 爬 
crayon 蜡笔 
craze 狂热 
crazy 发狂的 
cream 奶油 
create 创造 
creation 创作 
creature 动物 
credit 信用 
creditor 债权人 
creed 教义 
creep 爬 
crescent 新月 
crest 鸡冠 
crew 全体人员 
cricket 蟋蟀 
crime 犯罪 
criminal 罪犯 
crimson 艳红色 
cripple 身体障害的 
crisis 危机 
crisp 脆的 
critic 批评家 
critical 危急的 
criticism 评论 
criticize 非议 
crocodile 鳄鱼 
crook 屈曲,骗子 
crop 农作物 
cross 交叉 
crow 乌鸦 
crowd 群众 
crowded 拥挤的 
crown 王冠 
crude 粗糙的 
cruel 残酷的 
cruelty 残酷 
cruise 巡弋 
crumb 屑 
crumble 弄碎 
crumple 弄皱 
crusade 十字军 
crush 压碎 
crust □包皮 
cry 哭;喊 
crystal 水晶 
cub 幼兽 
cube 立方体 
cubic 立方体的 
cuckoo 杜鹃鸟 
cucumber 黄瓜 
cuff 袖口 
cultivate 养殖 
